insect,slug,href,kind,river_count,fly_count,has_river,has_fly,gap,months,rivers,patterns,catalog_flies,window_flags
general soft hackle,general-soft-hackle,/flies/hatch/general-soft-hackle,insect,0,1,no,yes,no_river,,,,starling-and-herl,
general wet fly,general-wet-fly,/flies/hatch/general-wet-fly,not_hatch,0,2,no,yes,no_river,,,,picket-pin|woolly-worm,
generic,generic,/flies/hatch/generic,insect,0,1,no,yes,no_river,,,,zebragon,
golden stone,golden-stone,/flies/hatch/golden-stone,insect,0,3,no,yes,no_river,,,,rowley-stone|stimulator|stonefly-nymph,
golden stoneflies,golden-stoneflies,/flies/hatch/golden-stoneflies,insect,0,5,no,yes,no_river,,,,chernobyl-ant|humpy|muddler-minnow|rowley-stone|stimulator,
Golden Stonefly,golden-stonefly,/flies/hatch/golden-stonefly,insect,36,6,yes,yes,,June|July|May,animas-river|arkansas-river-colorado|bighorn-river-wyoming|bitterroot-river-montana|blackfoot-river-montana|boulder-river-montana|clark-fork-river-montana|clearwater-river-idaho|colorado-river-colorado|deschutes-river|eagle-river-colorado|gunnison-river|john-day-river|lamar-river-yellowstone|lochsa-river-idaho|madison-river|mccloud-river|mckenzie-river|metolius-river|north-umpqua-river|pecos-river-new-mexico|rio-chama-new-mexico|rio-grande-colorado|rock-creek|salmon-river-idaho|selway-river-idaho|south-fork-boise|south-fork-snake-river-idaho|st-joe-river-idaho|teton-river-idaho|truckee-river|upper-sacramento-river|weber-river-utah|white-river-arizona|wind-river-wyoming|yampa-river,"Yellow Stimulator|Yellow Stimulator, Golden Stone Dry|Stimulator|Yellow Stimulator, Golden Stone Nymph, Yellow Sally|Stimulator, Kaufmann Stone|Gold Stimulator|Stimulator, Golden Stone|Stimulator, Royal Wulff|Yellow Humpy",eggstasy-yellow|humpy|rowley-stone|royal-wulff|stimulator|stonefly-nymph,
golden stonefly nymphs,golden-stonefly-nymphs,/flies/hatch/golden-stonefly-nymphs,insect,0,10,no,yes,no_river,,,,copper-john|hares-ear-nymph|polish-woven-nymph|prince-nymph|rowley-stone|squirrel-nymph|stonefly-nymph|tungsten-jig-hares-ear|twenty-incher|woolly-bugger,
Grannom,grannom,/flies/hatch/grannom,insect,0,1,no,yes,no_river,,,,elk-hair-caddis,
Grannom Caddis,grannom-caddis,/flies/hatch/grannom-caddis,insect,1,4,yes,yes,,May,kickapoo-river,Elk Hair Caddis,elk-hair-caddis|humpy|leadwing-coachman|monster-dry,
Grannom Caddis (Mothers Day),grannom-caddis-mothers-day,/flies/hatch/grannom-caddis-mothers-day,insect,1,4,yes,yes,,May,yakima-river,Elk Hair Caddis,elk-hair-caddis|humpy|leadwing-coachman|monster-dry,
Grasshopper,grasshopper,/flies/hatch/grasshopper,insect,23,6,yes,yes,,August|September|July,beaverhead-river-montana|big-wood-river-idaho|bighorn-river-montana|bighorn-river-wyoming|bitterroot-river-montana|blackfoot-river-montana|boulder-river-montana|cache-la-poudre-river|clark-fork-river-montana|clearwater-river-idaho|lamar-river-yellowstone|lochsa-river-idaho|methow-river|ruby-river-montana|salmon-river-idaho|selway-river-idaho|slough-creek-yellowstone|south-fork-snake-river-idaho|spokane-river|st-joe-river-idaho|teton-river-idaho|wind-river-wyoming|yakima-river,Dave Hopper|Dave's Hopper|Parachute Hopper|Chernobyl Ant|Daves Hopper,chernobyl-ant|daves-hopper|henrys-fork-hopper|muddler-minnow|parachute-hopper|stimulator,
Grasshopper / Terrestrials,grasshopper-terrestrials,/flies/hatch/grasshopper-terrestrials,insect,1,7,yes,yes,,July|August,provo-river,"Dave's Hopper, Chernobyl Ant, Foam Beetle|Dave's Hopper, Parachute Hopper",chernobyl-ant|daves-hopper|egans-bionic-ant-2|foam-ant|foam-beetle|henrys-fork-hopper|parachute-hopper,
grasshoppers,grasshoppers,/flies/hatch/grasshoppers,insect,0,6,no,yes,no_river,,,,chernobyl-ant|daves-hopper|henrys-fork-hopper|muddler-minnow|parachute-hopper|stimulator,
Green Caddis,green-caddis,/flies/hatch/green-caddis,insect,1,12,yes,yes,,June,cache-la-poudre-river,X-Caddis,bead-head-caddis-pupa|egans-corn-fed-caddis|egans-gti-caddis|elk-hair-caddis|emerging-caddis-pupa|front-end-loader-caddis|goddard-caddis|humpy|leadwing-coachman|monster-dry|partridge-and-green|x-caddis,
green caddis pupae,green-caddis-pupae,/flies/hatch/green-caddis-pupae,insect,0,13,no,yes,no_river,,,,bead-head-caddis-pupa|duracell-jig|emerging-caddis-pupa|humpy|leadwing-coachman|lightning-bug|matthews-sparkle-emerger|monster-dry|partridge-and-green|perdigon|soft-hackle-carrot|soft-hackle-partridge-and-orange|tungsten-soft-hackle-hares-ear,
Green Drake,green-drake,/flies/hatch/green-drake,insect,20,4,yes,yes,,June|May|July,ausable-river-new-york|beaverkill-river|big-wood-river-idaho|bitterroot-river-montana|blackfoot-river-montana|delaware-river-east-branch|delaware-river-west-branch|firehole-river|frying-pan-river|henrys-fork|mckenzie-river|metolius-river|neversink-river|north-umpqua-river|penns-creek|snake-river-wyoming|south-fork-snake-river-idaho|williamson-river-oregon|willowemoc-creek|wind-river-wyoming,"Comparadun Green Drake|Green Drake Parachute|Parachute Green Drake|Green Drake Paradrake, Extended Body Drake|Green Drake Paradrake, Extended Body Drake, Flav|Green Drake Paradrake, Coffin Fly Spinner|Green Drake Paradrake, Green Drake Emerger",caddis-larva-green-rock-worm|comparadun|green-drake|partridge-and-green,
Green Drake mayflies,green-drake-mayflies,/flies/hatch/green-drake-mayflies,insect,0,3,no,yes,no_river,,,,adams|green-drake|parachute-adams,
green rock worms,green-rock-worms,/flies/hatch/green-rock-worms,insect,0,1,no,yes,no_river,,,,caddis-larva-green-rock-worm,
green worms,green-worms,/flies/hatch/green-worms,insect,0,1,no,yes,no_river,,,,inchworm,
Grey Drake,grey-drake,/flies/hatch/grey-drake,insect,2,0,yes,no,no_fly,July|June,boardman-river|two-hearted-river,Grey Drake Spinner,,
Hellgrammite,hellgrammite,/flies/hatch/hellgrammite,insect,2,2,yes,yes,,May,james-river-va|new-river-va,Clouser Hellgrammite|Black Woolly Bugger,olive-bugger|woolly-bugger,
Hendrickson,hendrickson,/flies/hatch/hendrickson,insect,20,0,yes,no,no_fly,May|September|April,au-sable-river|ausable-river-new-york|beaverkill-river|boardman-river|brule-river-wisconsin|chattooga-river|cranberry-river-wv|davidson-river-nc|delaware-river-east-branch|delaware-river-west-branch|elk-river-wv|kickapoo-river|muskegon-river|neversink-river|pere-marquette-river|rapidan-river|tuckasegee-river|two-hearted-river|willowemoc-creek|yellow-breeches-creek,"Hendrickson Dry, Light Hendrickson, Hendrickson Emerger|Catskill Hendrickson|Parachute Hendrickson|Hendrickson Emerger|Hendrickson Parachute|Hendrickson Dry|Hendrickson Dry, Light Hendrickson",,Hendrickson@September
Hex (Hexagenia limbata),hex-hexagenia-limbata,/flies/hatch/hex-hexagenia-limbata,insect,2,0,yes,no,no_fly,June,au-sable-river|pere-marquette-river,"Hex Dry, Hex Wiggle Nymph, Roberts Yellow Drake|Hex Dry, Roberts Yellow Drake",,
Hex (late),hex-late,/flies/hatch/hex-late,insect,1,0,yes,no,no_fly,July,two-hearted-river,Hex Wiggle Nymph,,
Hexagenia,hexagenia,/flies/hatch/hexagenia,insect,5,0,yes,no,no_fly,July|June|May,boardman-river|brule-river-wisconsin|fall-river-california|muskegon-river|two-hearted-river,Hex Paradrake|Lawsons Hex,,
Hexagenia (late),hexagenia-late,/flies/hatch/hexagenia-late,insect,1,0,yes,no,no_fly,July,brule-river-wisconsin,Hex Wiggle Nymph,,
Hopper,hopper,/flies/hatch/hopper,insect,2,6,yes,yes,,July|August|June,john-day-river|river-gibbon,Joe Hopper|Parachute Hopper|Dave's Hopper,chernobyl-ant|daves-hopper|henrys-fork-hopper|muddler-minnow|parachute-hopper|stimulator,
Hoppers,hoppers,/flies/hatch/hoppers,insect,11,6,yes,yes,,September|July|August,arkansas-river-colorado|madison-river|mckenzie-river|pecos-river-new-mexico|rio-chama-new-mexico|rio-grande-new-mexico|rock-creek|snake-river-wyoming|strawberry-river-utah|weber-river-utah|white-river-arizona,"Chubby Chernobyl, Dave's Hopper|Chubby Chernobyl, Morrish Hopper, Dave's Hopper|Chubby Chernobyl, Morrish Hopper, Dave's Hopper, Parachute Hopper|Dave s Hopper, Letort Hopper|Chernobyl Ant|Dave s Hopper|Turks Tarantula|Chubby Chernobyl, Morrish Hopper|Dave s Hopper, Chernobyl Ant|Chernobyl Ant, Fat Albert|Dave s Hopper, Turks Tarantula",chernobyl-ant|daves-hopper|henrys-fork-hopper|muddler-minnow|parachute-hopper|stimulator,
Hoppers (fading),hoppers-fading,/flies/hatch/hoppers-fading,insect,1,0,yes,no,no_fly,September,madison-river,"Chubby Chernobyl, Morrish Hopper",,
Hoppers (Upper WY),hoppers-upper-wy,/flies/hatch/hoppers-upper-wy,insect,1,3,yes,yes,,July|August|September,green-river,"Chubby Chernobyl, Morrish Hopper, Dave's Hopper|Chubby Chernobyl, Parachute Hopper|Chubby Chernobyl, Morrish Hopper",daves-hopper|henrys-fork-hopper|parachute-hopper,
hydropsyche,hydropsyche,/flies/hatch/hydropsyche,insect,0,1,no,yes,no_river,,,,egans-gti-caddis,
impressionistic,impressionistic,/flies/hatch/impressionistic,insect,0,1,no,yes,no_river,,,,soft-hackle-carrot,
inchworms,inchworms,/flies/hatch/inchworms,insect,0,1,no,yes,no_river,,,,inchworm,
Intruder / Egg Pattern,intruder-egg-pattern,/flies/hatch/intruder-egg-pattern,not_hatch,1,0,yes,no,no_fly,March,skagit-river,Black and Blue Intruder,,
Intruder / Leech,intruder-leech,/flies/hatch/intruder-leech,not_hatch,1,2,yes,yes,,September,klickitat-river,Purple Peril,backflop-jig|egans-poacher-olive,
Intruder / Leech Streamer,intruder-leech-streamer,/flies/hatch/intruder-leech-streamer,not_hatch,1,2,yes,yes,,January,skagit-river,Purple Intruder,backflop-jig|egans-poacher-olive,
Intruder / Marabou Streamer,intruder-marabou-streamer,/flies/hatch/intruder-marabou-streamer,not_hatch,1,0,yes,no,no_fly,October,klickitat-river,Black and Blue Intruder,,
Isonychia,isonychia,/flies/hatch/isonychia,insect,8,1,yes,yes,,July|August|September|October|June,ausable-river-new-york|beaverkill-river|boardman-river|delaware-river-east-branch|delaware-river-west-branch|neversink-river|willowemoc-creek|yellow-breeches-creek,Isonychia Comparadun|Slate Drake,comparadun,
juvenile fish,juvenile-fish,/flies/hatch/juvenile-fish,insect,0,1,no,yes,no_river,,,,clouser-minnow-trout,
juvenile trout,juvenile-trout,/flies/hatch/juvenile-trout,insect,0,2,no,yes,no_river,,,,barely-legal|home-invader,
large ants,large-ants,/flies/hatch/large-ants,insect,0,3,no,yes,no_river,,,,chernobyl-ant|egans-bionic-ant-2|foam-ant,
large aquatic insects,large-aquatic-insects,/flies/hatch/large-aquatic-insects,insect,0,1,no,yes,no_river,,,,twenty-incher,
large baitfish,large-baitfish,/flies/hatch/large-baitfish,forage,0,13,no,yes,no_river,,,,autumn-splendor|barely-legal|circus-peanut|clouser-minnow-trout|double-bunny|home-invader|kreelex|muddler-minnow|olive-bugger|sex-dungeon|slumpbuster|woolly-bugger|zonker,
large caddis,large-caddis,/flies/hatch/large-caddis,insect,0,4,no,yes,no_river,,,,humpy|leadwing-coachman|monster-dry|stimulator,
Large Dark Olive,large-dark-olive,/flies/hatch/large-dark-olive,insect,1,2,yes,yes,,March,river-moy,"March Brown, Dark Olive Emerger",march-brown|march-brown-wet,
leech,leech,/flies/hatch/leech,forage,0,7,no,yes,no_river,,,,autumn-splendor|backflop-jig|carey-special|double-bunny|egans-poacher-olive|olive-bugger|woolly-bugger,
leeches,leeches,/flies/hatch/leeches,forage,0,7,no,yes,no_river,,,,autumn-splendor|backflop-jig|carey-special|double-bunny|egans-poacher-olive|olive-bugger|woolly-bugger,
Light Cahill,light-cahill,/flies/hatch/light-cahill,insect,19,0,yes,no,no_fly,June|May,ausable-river-new-york|beaverkill-river|chattahoochee-river-ga|chattooga-river|cranberry-river-wv|cumberland-river-ky|davidson-river-nc|delaware-river-east-branch|delaware-river-west-branch|elk-river-tennessee|elk-river-wv|hiwassee-river|kickapoo-river|nantahala-river|neversink-river|rapidan-river|toccoa-river-ga|tuckasegee-river|willowemoc-creek,Catskill Light Cahill|Light Cahill Parachute|Light Cahill|Light Cahill Dry,,
Little Black Caddis,little-black-caddis,/flies/hatch/little-black-caddis,insect,5,5,yes,yes,,March|April,chattahoochee-river-ga|cranberry-river-wv|cumberland-river-ky|north-umpqua-river|toccoa-river-ga,Black X-Caddis|Black Elk Hair Caddis,elk-hair-caddis|humpy|leadwing-coachman|monster-dry|x-caddis,
Little Black Stonefly,little-black-stonefly,/flies/hatch/little-black-stonefly,insect,3,2,yes,yes,,April|May,truckee-river|wind-river-wyoming|yakima-river,Black Stimulator|Black Elk Hair Caddis,elk-hair-caddis|stimulator,
Little Yellow Stone,little-yellow-stone,/flies/hatch/little-yellow-stone,insect,1,1,yes,yes,,May|June,hat-creek-california,Yellow Stimulator|Yellow Sally,stimulator,
Little Yellow Stonefly,little-yellow-stonefly,/flies/hatch/little-yellow-stonefly,insect,1,0,yes,no,no_fly,June,lamar-river-yellowstone,Yellow Sally,,
Mahogany Dun,mahogany-dun,/flies/hatch/mahogany-dun,insect,18,17,yes,yes,,September|October,bighorn-river-wyoming|bitterroot-river-montana|blackfoot-river-montana|boardman-river|boulder-river-montana|clark-fork-river-montana|henrys-fork|lamar-river-yellowstone|lochsa-river-idaho|madison-river|metolius-river|nantahala-river|silver-creek|slough-creek-yellowstone|st-joe-river-idaho|teton-river-idaho|two-hearted-river|wind-river-wyoming,"Mahogany Comparadun|Mahogany Sparkle Dun|Mahogany Sparkle Dun, Pheasant Tail|Mahogany Dun, Mahogany Sparkle Dun, Pheasant Tail|Comparadun Mahogany|Rusty Spinner",blue-dun|bwo-sparkle-dun|cdc-pheasant-tail|cdc-pheasant-tail-pink|comparadun|jig-ptn|olive-thorax-dun|pale-morning-dun|pheasant-tail|pheasant-tail-nymph|quasimodo-pheasant-tail|rozas-pink-pheasant-tail|rusty-spinner|soft-hackle-pheasant-tail|sparkle-dun|sulphur-dun|super-simple-pheasant-tail,
March Brown,march-brown,/flies/hatch/march-brown,insect,16,3,yes,yes,,May|April,ausable-river-new-york|beaverkill-river|bitterroot-river-montana|blackfoot-river-montana|chattooga-river|clark-fork-river-montana|cranberry-river-wv|delaware-river-east-branch|delaware-river-west-branch|hiwassee-river|madison-river|mckenzie-river|neversink-river|north-umpqua-river|rapidan-river|willowemoc-creek,"March Brown|March Brown Spider|March Brown Parachute|March Brown Wet|March Brown Nymph, March Brown Emerger|March Brown Dry, March Brown Emerger|March Brown Comparadun|March Brown Catskill",comparadun|march-brown|march-brown-wet,
March Brown mayflies,march-brown-mayflies,/flies/hatch/march-brown-mayflies,insect,0,3,no,yes,no_river,,,,adams|march-brown|parachute-adams,
mayflies,mayflies,/flies/hatch/mayflies,insect,0,20,no,yes,no_river,,,,adams|bwo-parachute|callibaetis-cripple|cdc-pheasant-tail|film-critic|green-drake|last-chance-cripple|march-brown|march-brown-wet|olive-thorax-dun|pale-morning-dun|parachute-adams|quigley-cripple|quill-gordon|royal-wulff|soft-hackle-hares-ear|soft-hackle-partridge-and-orange|soft-hackle-pheasant-tail|sparkle-dun|sulphur-dun,
mayflies (suggestive),mayflies-suggestive,/flies/hatch/mayflies-suggestive,insect,0,3,no,yes,no_river,,,,adams|parachute-adams|royal-wulff,
Mayfly,mayfly,/flies/hatch/mayfly,insect,1,50,yes,yes,,July|August,chena-river,Parachute Adams,adams|blue-dun|cdc-emerger|comparadun|copper-john|deep-sparrow-nymph|egans-iron-lotus|egans-rainbow-warrior-perdigon|egans-red-dart|egans-thread-frenchie|egans-tungsten-surveyor|flashback-hares-ear|frenchie|hares-ear-nymph|iron-lotus|jig-perdigon|jig-ptn|juju-baetis|klinkhammer-special|lickety-split|lightning-bug|lite-brite-perdigon|mayday-mayfly|micro-mayfly|mike-komaras-walts-worm|monster-dry|olsen-quilldigon|parachute-adams|perdigon|pheasant-tail-nymph|polish-woven-nymph|quasimodo-pheasant-tail|rainbow-warrior|rozas-pink-pheasant-tail|rs2|rusty-spinner|silver-bullet-baetis|snowshoe-baetis-emerger|snowshoe-emerger|soft-hackle-carrot|sparkle-dun|spotlight-emerger|squirrel-nymph|super-simple-pheasant-tail|surveyor|tungsten-jig-hares-ear|tungsten-soft-hackle-hares-ear|tungsten-torpedo|two-bit-hooker|zebragon,
mayfly dun,mayfly-dun,/flies/hatch/mayfly-dun,insect,0,4,no,yes,no_river,,,,blue-dun|comparadun|monster-dry|sparkle-dun,
mayfly duns,mayfly-duns,/flies/hatch/mayfly-duns,insect,0,4,no,yes,no_river,,,,blue-dun|comparadun|monster-dry|sparkle-dun,
mayfly emerger,mayfly-emerger,/flies/hatch/mayfly-emerger,insect,0,8,no,yes,no_river,,,,cdc-emerger|klinkhammer-special|lickety-split|rs2|snowshoe-baetis-emerger|snowshoe-emerger|spotlight-emerger|tungsten-soft-hackle-hares-ear,
mayfly emergers,mayfly-emergers,/flies/hatch/mayfly-emergers,insect,0,8,no,yes,no_river,,,,cdc-emerger|klinkhammer-special|lickety-split|rs2|snowshoe-baetis-emerger|snowshoe-emerger|spotlight-emerger|tungsten-soft-hackle-hares-ear,
Mayfly (Ephemera danica),mayfly-ephemera-danica,/flies/hatch/mayfly-ephemera-danica,insect,1,1,yes,yes,,May,river-moy,"Spent Gnat, Green Drake, Grey Wulff",green-drake,
mayfly nymph,mayfly-nymph,/flies/hatch/mayfly-nymph,insect,0,36,no,yes,no_river,,,,copper-john|deep-sparrow-nymph|egans-iron-lotus|egans-rainbow-warrior-perdigon|egans-red-dart|egans-thread-frenchie|egans-tungsten-surveyor|flashback-hares-ear|frenchie|hares-ear-nymph|iron-lotus|jig-perdigon|jig-ptn|juju-baetis|lightning-bug|lite-brite-perdigon|mayday-mayfly|micro-mayfly|mike-komaras-walts-worm|olsen-quilldigon|perdigon|pheasant-tail-nymph|polish-woven-nymph|quasimodo-pheasant-tail|rainbow-warrior|rozas-pink-pheasant-tail|silver-bullet-baetis|soft-hackle-carrot|squirrel-nymph|super-simple-pheasant-tail|surveyor|tungsten-jig-hares-ear|tungsten-soft-hackle-hares-ear|tungsten-torpedo|two-bit-hooker|zebragon,
mayfly nymphs,mayfly-nymphs,/flies/hatch/mayfly-nymphs,insect,0,36,no,yes,no_river,,,,copper-john|deep-sparrow-nymph|egans-iron-lotus|egans-rainbow-warrior-perdigon|egans-red-dart|egans-thread-frenchie|egans-tungsten-surveyor|flashback-hares-ear|frenchie|hares-ear-nymph|iron-lotus|jig-perdigon|jig-ptn|juju-baetis|lightning-bug|lite-brite-perdigon|mayday-mayfly|micro-mayfly|mike-komaras-walts-worm|olsen-quilldigon|perdigon|pheasant-tail-nymph|polish-woven-nymph|quasimodo-pheasant-tail|rainbow-warrior|rozas-pink-pheasant-tail|silver-bullet-baetis|soft-hackle-carrot|squirrel-nymph|super-simple-pheasant-tail|surveyor|tungsten-jig-hares-ear|tungsten-soft-hackle-hares-ear|tungsten-torpedo|two-bit-hooker|zebragon,
Mayfly (spent),mayfly-spent,/flies/hatch/mayfly-spent,insect,1,0,yes,no,no_fly,June,river-moy,"Spent Gnat, Grey Wulff",,
mayfly spinners,mayfly-spinners,/flies/hatch/mayfly-spinners,insect,0,1,no,yes,no_river,,,,rusty-spinner,
Midge,midge,/flies/hatch/midge,insect,52,16,yes,yes,,October|January|February|March|November|December|April|September|August|July|June|May,animas-river|beaverhead-river-montana|big-wood-river-idaho|bighorn-river-montana|bighorn-river-wyoming|bitterroot-river-montana|blackfoot-river-montana|blue-river-colorado|boulder-river-montana|brule-river-wisconsin|cache-la-poudre-river|caney-fork-river|chattahoochee-river-ga|chena-river|clark-fork-river-montana|clearwater-river-idaho|clinch-river-tennessee|colorado-river-colorado|cranberry-river-wv|cumberland-river-ky|eagle-river-colorado|elk-river-tennessee|elk-river-wv|fall-river-california|guadalupe-river-texas|gunnison-river|hat-creek-california|hiwassee-river|lamar-river-yellowstone|metolius-river|rio-grande-colorado|roaring-fork-river|ruby-river-montana|russian-river-alaska|salmon-river-idaho|san-juan-river|slough-creek-yellowstone|south-fork-snake-river-idaho|south-holston-river|spokane-river|spring-river-arkansas|st-joe-river-idaho|teton-river-idaho|toccoa-river-ga|truckee-river|truckee-river-nevada|tuckasegee-river|upper-sacramento-river|watauga-river-tennessee|wind-river-wyoming|yampa-river|yellow-breeches-creek,Mercury Midge|Zebra Midge|Griffiths Gnat|Disco Midge|CDC Midge|WD-40|Brassie|Bead Egg Pattern|RS2,black-spider|egans-rainbow-warrior-perdigon|egans-thread-frenchie|egans-tungsten-surveyor|egg-pattern|griffiths-gnat|klinkhammer-special|midge-larva|monster-midge|olsens-cdc-midge|rainbow-warrior|rs2|thread-midge|top-secret-midge|zebra-midge|zebragon,
midge adult,midge-adult,/flies/hatch/midge-adult,insect,0,3,no,yes,no_river,,,,griffiths-gnat|monster-midge|olsens-cdc-midge,
midge adults,midge-adults,/flies/hatch/midge-adults,insect,0,3,no,yes,no_river,,,,griffiths-gnat|monster-midge|olsens-cdc-midge,
Midge (Chironomidae),midge-chironomidae,/flies/hatch/midge-chironomidae,insect,1,7,yes,yes,,January|February|March|April|October|November|December,provo-river,"Mercury Midge, Zebra Midge, Griffith's Gnat|Mercury Midge, Zebra Midge|Mercury Midge, Griffith's Gnat",griffiths-gnat|midge-larva|monster-midge|olsens-cdc-midge|thread-midge|top-secret-midge|zebra-midge,
midge clusters,midge-clusters,/flies/hatch/midge-clusters,insect,0,1,no,yes,no_river,,,,griffiths-gnat,
midge emergers,midge-emergers,/flies/hatch/midge-emergers,insect,0,3,no,yes,no_river,,,,klinkhammer-special|rs2|tungsten-soft-hackle-hares-ear,
midge larva,midge-larva,/flies/hatch/midge-larva,insect,0,3,no,yes,no_river,,,,midge-larva|thread-midge|zebra-midge,
midge larvae,midge-larvae,/flies/hatch/midge-larvae,insect,0,3,no,yes,no_river,,,,midge-larva|thread-midge|zebra-midge,
midge pupa,midge-pupa,/flies/hatch/midge-pupa,insect,0,7,no,yes,no_river,,,,egans-rainbow-warrior-perdigon|egans-thread-frenchie|egans-tungsten-surveyor|rainbow-warrior|top-secret-midge|zebra-midge|zebragon,
midge pupae,midge-pupae,/flies/hatch/midge-pupae,insect,0,7,no,yes,no_river,,,,egans-rainbow-warrior-perdigon|egans-thread-frenchie|egans-tungsten-surveyor|rainbow-warrior|top-secret-midge|zebra-midge|zebragon,
Midges,midges,/flies/hatch/midges,insect,18,9,yes,yes,,October|April|January|February|March|November|December|May|June|July|August|September,big-spring-creek|firehole-river|frying-pan-river|green-river|lees-ferry-arizona|letort-spring-run|madison-river|norfork-river|north-platte-wyoming|pecos-river-new-mexico|rio-chama-new-mexico|rio-grande-new-mexico|rock-creek|south-platte-river|strawberry-river-utah|weber-river-utah|white-river-arizona|white-river-arkansas,"Griffith's Gnat, Zebra Midge|Zebra Midge, Mercury Midge, Griffith's Gnat|Zebra Midge, Disco Midge|Zebra Midge, Mercury Midge|Zebra Midge|Zebra Midge, WD-40|Zebra Midge, Griffiths Gnat|WD-40|WD-40, Mercury Midge|WD-40, Zebra Midge|Mercury Midge, WD-40|Griffith's Gnat, CDC Midge|Zebra Midge, Griffith's Gnat, Mercury Midge|Zebra Midge, Griffith's Gnat|Griffiths Gnat|Griffith's Gnat, RS2, Mercury Midge|Brassie",black-spider|griffiths-gnat|midge-larva|monster-midge|olsens-cdc-midge|rs2|thread-midge|top-secret-midge|zebra-midge,
minnow,minnow,/flies/hatch/minnow,insect,0,5,no,yes,no_river,,,,backflop-jig|clouser-minnow-trout|egans-poacher-olive|kreelex|zonker,
minnows,minnows,/flies/hatch/minnows,insect,0,5,no,yes,no_river,,,,backflop-jig|clouser-minnow-trout|egans-poacher-olive|kreelex|zonker,
Mothers Day Caddis,mothers-day-caddis,/flies/hatch/mothers-day-caddis,insect,5,11,yes,yes,,May,bitterroot-river-montana|blackfoot-river-montana|clark-fork-river-montana|madison-river|rock-creek,"Elk Hair Caddis|Elk Hair Caddis, X-Caddis, Goddard Caddis|Elk Hair Caddis, X-Caddis",bead-head-caddis-pupa|egans-corn-fed-caddis|egans-gti-caddis|elk-hair-caddis|emerging-caddis-pupa|front-end-loader-caddis|goddard-caddis|humpy|leadwing-coachman|monster-dry|x-caddis,
Mysis Shrimp,mysis-shrimp,/flies/hatch/mysis-shrimp,forage,1,0,yes,no,no_fly,January|October,blue-river-colorado,Mercury Mysis|UV Mysis,,
October Caddis,october-caddis,/flies/hatch/october-caddis,insect,20,16,yes,yes,,September|October,animas-river|cache-la-poudre-river|chattooga-river|davidson-river-nc|deschutes-river|eagle-river-colorado|frying-pan-river|gunnison-river|hat-creek-california|kickapoo-river|madison-river|mccloud-river|methow-river|roaring-fork-river|snake-river-wyoming|south-fork-boise|truckee-river|upper-sacramento-river|williamson-river-oregon|yakima-river,"Orange Stimulator|Stimulator|October Caddis Stimulator|Orange Stimulator, October Caddis|October Caddis Dry|Elk Hair Orange Caddis|Orange Stimulator, October Caddis, Goddard Caddis|Orange Stimulator, October Caddis Pupa|October Caddis Soft Hackle|October Caddis",bead-head-caddis-pupa|egans-corn-fed-caddis|egans-gti-caddis|elk-hair-caddis|emerging-caddis-pupa|front-end-loader-caddis|goddard-caddis|humpy|leadwing-coachman|monster-dry|soft-hackle-carrot|soft-hackle-hares-ear|soft-hackle-pheasant-tail|stimulator|tungsten-soft-hackle-hares-ear|x-caddis,
October Caddis (Flaming Gorge),october-caddis-flaming-gorge,/flies/hatch/october-caddis-flaming-gorge,insect,1,6,yes,yes,,October,green-river,"Stimulator, October Caddis Dry",elk-hair-caddis|goddard-caddis|humpy|leadwing-coachman|monster-dry|stimulator,
Olive Dun,olive-dun,/flies/hatch/olive-dun,insect,1,0,yes,no,no_fly,May,river-moy,"Greenwell's Glory, Olive Quill",,
olive mayflies,olive-mayflies,/flies/hatch/olive-mayflies,insect,0,3,no,yes,no_river,,,,adams|olive-thorax-dun|parachute-adams,
Pale Evening Dun,pale-evening-dun,/flies/hatch/pale-evening-dun,insect,1,2,yes,yes,,July,metolius-river,PED Sparkle Dun,bwo-sparkle-dun|sparkle-dun,
Pale Morning Dun,pale-morning-dun,/flies/hatch/pale-morning-dun,insect,34,16,yes,yes,,July|June|May|August|April,arkansas-river-colorado|beaverhead-river-montana|big-wood-river-idaho|bighorn-river-montana|bighorn-river-wyoming|bitterroot-river-montana|blackfoot-river-montana|boulder-river-montana|clark-fork-river-montana|clearwater-river-idaho|deschutes-river|firehole-river|frying-pan-river|henrys-fork|john-day-river|lamar-river-yellowstone|lochsa-river-idaho|north-platte-wyoming|river-gibbon|rock-creek|ruby-river-montana|salmon-river-idaho|san-juan-river|selway-river-idaho|silver-creek|slough-creek-yellowstone|snake-river-wyoming|south-fork-boise|south-fork-snake-river-idaho|south-platte-river|st-joe-river-idaho|teton-river-idaho|truckee-river-nevada|wind-river-wyoming,"PMD Sparkle Dun, Pheasant Tail|PMD Sparkle Dun|PMD Cripple|PMD Comparadun|PMD Sparkle Dun, PMD Cripple|PMD Sparkle Dun, PMD Cripple, Rusty Spinner|Parachute PMD|Sparkle Dun",bwo-sparkle-dun|cdc-pheasant-tail|cdc-pheasant-tail-pink|comparadun|jig-ptn|monster-dry|pale-morning-dun|pheasant-tail|pheasant-tail-nymph|pmd-emerger|quasimodo-pheasant-tail|rozas-pink-pheasant-tail|rusty-spinner|soft-hackle-pheasant-tail|sparkle-dun|super-simple-pheasant-tail,
